id,type,domain,enabled,date_added,date_modified,comment
13,0,static.klaviyo.com,1,1624216458,1624216458,"Added from Query Log"
14,0,static-forms.klaviyo.com,1,1624216482,1624216482,"Added from Query Log"
15,0,ethermine.org,1,1624617425,1624617425,"Added from Query Log"
16,0,incoming.telemetry.mozilla.org,1,1624801399,1624801399,"Added from Query Log"
17,0,912e694510fc7e9e8178ec27b8699a82d2689c3e.cws.conviva.com,1,1624901015,1624901015,"Added from Query Log"
18,0,consent.cookiebot.com,1,1624901021,1624901021,"Added from Query Log"
19,0,assets.adobedtm.com,1,1624901027,1624901027,"Added from Query Log"
20,0,consentcdn.cookiebot.com,1,1624901046,1624901046,"Added from Query Log"
21,0,api.segment.io,1,1624901053,1624901053,"Added from Query Log"
22,0,www.googletagmanager.com,1,1624901091,1624901091,"Added from Query Log"
23,0,self.events.data.microsoft.com,1,1624901202,1624901202,"Added from Query Log"
25,0,www-googletagmanager.l.google.com,1,1624901222,1624901222,"Added from Query Log"
26,0,cdn-gl.nmrodam.com,1,1624901237,1624901237,"Added from Query Log"
27,0,cws-iad1.conviva.com,1,1624901250,1624901250,"Added from Query Log"
28,0,activity.windows.com,1,1624901358,1624901358,"Added from Query Log"
